P50,P75,P90,safety_stock,risk_flag
16500.250713071913,20580.346232507825,35110.984768220405,18610.734055148492,True
22789.461805455867,23282.598566692723,35508.84938041345,12719.387574957582,True
24346.009191030033,25923.62565529334,35611.74579321556,11265.736602185527,True
26349.54218588391,29651.517764075223,36086.22999712158,9736.687811237673,True
28122.34998140702,28625.365349816362,37633.01939027126,9510.669408864243,True
27619.864391948977,29068.06211808913,36563.55921551268,8943.694823563703,True
32529.869828634502,32529.869828634502,36041.574841872156,3511.7050132376535,False
34059.9457821456,34059.9457821456,36464.03807052372,2404.092288378117,False
33102.906283645,33102.906283645,36095.44002308341,2992.533739438404,False
45234.23351466654,46041.42563740846,46041.42563740846,807.1921227419152,False
28228.36012087934,28230.77930785044,36680.81670409577,8452.45658321643,False
24716.828638823456,25734.025758282227,36217.66972174532,11500.841082921863,True
16558.379364384935,20644.761214087033,35453.36369170873,18894.984327323793,True
22477.448997482632,23231.08439214896,35508.84938041345,13031.400382930817,True
24805.93487828062,25758.108888899456,35611.74579321556,10805.81091493494,True
31800.676841384688,31800.676841384688,35776.72729078685,3976.050449402159,False
45946.95716332103,45946.95716332103,45946.95716332103,0.0,False
42368.690146889996,44544.842294691225,44932.506243111864,2563.816096221868,False
37398.1572259608,38244.55375940387,39008.35401077948,1610.1967848186832,False
35030.91279168713,35030.91279168713,37631.26693839783,2600.354146710699,False
33513.88654034321,33513.88654034321,36244.04234886158,2730.1558085183715,False
44701.69801148828,46312.12163117267,46312.12163117267,1610.423619684385,False
28676.833683529254,29673.846894210754,36902.00033568164,8225.166652152384,False
25012.938024446474,26008.636935650928,36856.20342351961,11843.265399073138,True
16420.68538388748,20612.524751502864,35377.253967368844,18956.568583481363,True
22790.844785583526,23233.487735987135,35508.84938041345,12718.004594829923,True
24896.571505796852,25720.096301002435,35611.74579321556,10715.174287418708,True
31948.826269216497,31948.826269216497,35776.72729078685,3827.9010215703493,False
41061.995003940785,43297.98329153954,44503.43467910356,3441.439675162772,False
36894.430126951615,37371.49769904035,38688.501275793315,1794.0711488417,False
35951.501674498744,36895.792433186165,38702.410811829635,2750.909137330891,False
35463.142704544385,35463.142704544385,36612.34009605312,1149.1973915087365,False
32940.611995620595,32940.611995620595,36109.68739165055,3169.0753960299553,False
47241.620557583585,47241.620557583585,47241.620557583585,0.0,False
28411.272027488892,28536.632875188072,36180.15295725744,7768.880929768551,False
24023.237180106655,25035.467370279577,36753.64051690344,12730.403336796786,True
